chunk_id,text
chunk_1,"Akash Ganga JeevanRaksha Bundle: A Guide to Pet Loans & Insurance Document ID: AGFG-JRB-2025-V1.0 Effective Date: October 1, 2025 Confidentiality: For Internal and Client Use Only Topic 1: A New Chapter in Pet Wellness in India 1.1. Our Vision: Akash Ganga Financial Group recognizes that pets are cherished members of Indian families. We believe that financial constraints should never stand in the way of providing the best possible care for them. This bundle is designed to provide pet owners with financial peace of mind for their pet's health and well-being through an integrated, simple, and powerful solution. 1.2. The Integrated Solution: The Akash Ganga JeevanRaksha Bundle combines two essential products into a single offering: A Pashu Kalyan Loan (Animal Welfare"
chunk_2,"Solution: The Akash Ganga JeevanRaksha Bundle combines two essential products into a single offering: A Pashu Kalyan Loan (Animal Welfare Loan) from Akash Ganga Bank. A JeevanRaksha Policy (Life Protection Policy) from our trusted insurance arm, Suraksha Bima. Topic 2: Detailed Information: Akash Ganga Bank 2.1. About Us: Akash Ganga Bank is a leading digital-first private sector bank in India, headquartered in Mumbai. We are committed to pioneering innovative financial products that cater to the evolving needs of our customers. Our philosophy is to blend cutting-edge technology with a human touch to make banking simple, transparent, and accessible for everyone. 2.2. Branch Locations and Details: Mumbai (Head Office): Address: Jeevan Prakash Building, 15 Vikas Marg, Bandra (West), Mumbai, Maharashtra 400050."
chunk_3,"2.2. Branch Locations and Details: Mumbai (Head Office): Address: Jeevan Prakash Building, 15 Vikas Marg, Bandra (West), Mumbai, Maharashtra 400050. IFS Code: AKGB0000001 Branch Timings: 9:30 AM - 4:30 PM (Monday to Friday), 9:30 AM - 1:30 PM (Saturday). Services: Full-service branch including personal banking, wealth management, and foreign exchange (forex) services. Bengaluru (Technology Hub): Address: 3rd Floor, Silicon Towers, 80 Feet Road, Koramangala, Bengaluru, Karnataka 560095. IFS Code: AKGB0000002 Branch Timings: 10:00 AM - 4:00 PM (Monday to Friday). Services: This branch specializes in startup banking solutions, digital product support, and business loans. Delhi (Capital Branch): Address: Unit 42, Connaught Circle, Connaught Place, New Delhi, Delhi 110001. IFS Code: AKGB0000003 Branch Timings: 10:00 AM - 5:00 PM (Monday to"
chunk_4,"Connaught Circle, Connaught Place, New Delhi, Delhi 110001. IFS Code: AKGB0000003 Branch Timings: 10:00 AM - 5:00 PM (Monday to Friday). Services: This is the primary branch for personal loans, NRI services, and government banking. Topic 3: Part A - The Pashu Kalyan Loan (from Akash Ganga Bank) 3.1. Loan Specifications: Loan Amounts: From ₹50,000 up to ₹5,00,000. Loan Term (Tenure): Flexible repayment tenure from 12 to 60 months. Standard Interest Rate: The standard annual percentage rate (APR) is 12.5%. Eligibility: Requires a minimum CIBIL score of 740 for the primary applicant. 3.2. The JeevanRaksha Bundle Discount: This is the core benefit of the bundle. A significant 2.0% interest rate reduction is applied to the Pashu Kalyan Loan. This brings"
chunk_5,"core benefit of the bundle. A significant 2.0% interest rate reduction is applied to the Pashu Kalyan Loan. This brings the effective interest rate down to 10.5%. Condition: This special rate is contingent upon the applicant holding an active JeevanRaksha Policy for the duration of the loan. If the insurance policy is cancelled before the loan is fully paid, the interest rate will revert to the standard 12.5% for the remainder of the loan tenure. Topic 4: Part B - The JeevanRaksha Insurance Policy (from Suraksha Bima) 4.1. Policy Coverage: Animal Types Covered: The policy is specifically designed for domestic dogs and cats. The policy does not provide coverage for exotic animals, birds, or farm animals. Annual Deductible: A standard"
chunk_6,"dogs and cats. The policy does not provide coverage for exotic animals, birds, or farm animals. Annual Deductible: A standard annual deductible of ₹5,000 must be paid by the policyholder before insurance benefits apply. Reimbursement Level: We provide a reimbursement of 85% of the approved veterinary bill after the annual deductible has been met. 4.2. Exclusive ""Monsoon Cover"" Feature: Benefit: Provides specialized coverage for common monsoon-related illnesses including tick-borne fever, gastroenteritis, and leptospirosis. Reduced Deductible: For claims related to these specific monsoon illnesses, the policy deductible is reduced to ₹2,500. Active Period: This feature is automatically active from June 1st to September 30th each year. 4.3. The ""Suraksha Sahayata"" System: To simplify the claims process, the bundle includes our unique"
chunk_7,"to September 30th each year. 4.3. The ""Suraksha Sahayata"" System: To simplify the claims process, the bundle includes our unique Suraksha Sahayata (Protection Assistance) system. When a Pashu Kalyan Loan is disbursed to pay a partner veterinary clinic, the system automatically triggers a preliminary insurance claim submission to Suraksha Bima. This removes the burden of initial paperwork from the pet owner during a stressful time. Topic 5: How the Bundle Works: A Real-World Scenario The Situation: Aarav's dog, Leo, requires an emergency surgery with a vet estimate of ₹80,000. The Process: Aarav applies for the ₹80,000 Akash Ganga JeevanRaksha Bundle. He is approved by Akash Ganga Bank at the reduced interest rate of 10.5%. The bank pays the ₹80,000 directly"
chunk_8,"He is approved by Akash Ganga Bank at the reduced interest rate of 10.5%. The bank pays the ₹80,000 directly to the vet. The Suraksha Sahayata system auto-files the claim with Suraksha Bima. Suraksha Bima processes the claim. After the ₹5,000 deductible, they reimburse 85% of the remaining ₹75,000, which equals ₹63,750. This reimbursement is paid directly towards Aarav's loan balance. Aarav's final outstanding loan amount is only ₹16,250 (₹80,000 - ₹63,750), which he can pay in easy EMIs. Topic 6: Key Contacts and Program Management Priya Sharma: Head of Bundled Financial Products, Akash Ganga Financial Group. Rohan Mehra: Lead Officer, Pashu Kalyan Loans, Akash Ganga Bank. Anjali Desai: Senior Claims Manager, Suraksha Bima. Topic 7: Legal Disclosures & Availability"
chunk_9,"Officer, Pashu Kalyan Loans, Akash Ganga Bank. Anjali Desai: Senior Claims Manager, Suraksha Bima. Topic 7: Legal Disclosures & Availability 7.1. Loan Terms: The loan is subject to credit approval based on the applicant's CIBIL score and income verification. All standard Reserve Bank of India (RBI) regulations for personal loans apply. 7.2. Insurance Policy: Insurance coverage is subject to the detailed terms, conditions, and exclusions mentioned in the full policy document, which will be provided upon approval. This document serves as a summary of key features. 7.3. Geographic Availability: The Akash Ganga JeevanRaksha Bundle is currently available to residents of the metropolitan areas of cities with an Akash Ganga Bank branch: Mumbai, Bengaluru, and Delhi."
chunk_10,"the metropolitan areas of cities with an Akash Ganga Bank branch: Mumbai, Bengaluru, and Delhi."
